,num_topics,c_v,u_mass
3,9.0,0.4217278794527531,-1.563583955247004
5,11.0,0.4082105064002294,-1.696199146116618
8,14.0,0.40364647851987306,-1.6168010835198068
6,12.0,0.3975605261089381,-1.658419610037593
4,10.0,0.3934164339493932,-1.6267822096516962
0,6.0,0.3876366811402933,-1.5016241459506556
1,7.0,0.3863015422728066,-1.5416191065483873
7,13.0,0.3837123771465028,-1.6432321827287582
9,15.0,0.3810414976439871,-1.6021377534581596
2,8.0,0.37820358785938585,-1.5831589461426994
11,17.0,0.3737105380185485,-1.6637750948925873
10,16.0,0.37262775607740667,-1.6182583662550463
12,18.0,0.36939322709678213,-1.667749273607926
13,19.0,0.36837647098962506,-1.6411442821038942
14,20.0,0.35197419585121004,-1.683041086310983
