,num_topics,alpha,eta,c_v,u_mass
9,7.0,0.05,0.05,0.3901643640675597,-1.456707032403046
14,8.0,0.05,0.05,0.36855873126740823,-1.4866272485222303
4,6.0,0.05,0.05,0.3683684516593733,-1.4747331624791338
19,9.0,0.05,0.05,0.3655295888789011,-1.5278207380159767
29,11.0,0.05,0.05,0.35565926085820726,-1.5846259556752749
44,14.0,0.05,0.05,0.35331460956005956,-1.6522992920665385
39,13.0,0.05,0.05,0.3518520801580177,-1.63552190062324
54,16.0,0.05,0.05,0.350541166048354,-1.6262630090760175
24,10.0,0.05,0.05,0.34529993481033505,-1.4955188066436156
34,12.0,0.05,0.05,0.34005597901051615,-1.6852628539538808
49,15.0,0.05,0.05,0.336439208437859,-1.6162408618257056
28,11.0,0.05,20.0,0.285835541412734,-1.3915875943859166
53,16.0,0.05,20.0,0.2810407216751178,-1.4702936646950713
33,12.0,0.05,20.0,0.2766862867709997,-1.4659647164221246
38,13.0,0.05,20.0,0.27232497414653,-1.4900824485749806
3,6.0,0.05,20.0,0.26671787521929474,-1.5388302112220293
13,8.0,0.05,20.0,0.2585802609025186,-1.4061595854162459
8,7.0,0.05,20.0,0.2583379462786298,-1.5126112123936986
48,15.0,0.05,20.0,0.2546543263338004,-1.379261389761612
43,14.0,0.05,20.0,0.2508305876874375,-1.4422842447036441
23,10.0,0.05,20.0,0.24754171082180926,-1.4476205235775743
32,12.0,20.0,0.05,0.2461007944036818,-1.399731075141701
18,9.0,0.05,20.0,0.2456307004554779,-1.3837464204744672
7,7.0,20.0,0.05,0.2449828266156278,-1.3951691456540656
6,7.0,20.0,0.01,0.2449828266156278,-1.3923539716830322
50,16.0,20.0,20.0,0.2444150880002669,-1.3683340364635959
0,6.0,20.0,20.0,0.2444150880002669,-1.3683880399889488
5,7.0,20.0,20.0,0.2444150880002669,-1.3684543677093732
10,8.0,20.0,20.0,0.2444150880002669,-1.368455278354824
15,9.0,20.0,20.0,0.24441508800026687,-1.3683751569509974
25,11.0,20.0,20.0,0.24441508800026684,-1.368408295759802
20,10.0,20.0,20.0,0.24441508800026684,-1.3684069960115084
40,14.0,20.0,20.0,0.24441508800026682,-1.3683872142241096
30,12.0,20.0,20.0,0.24441508800026682,-1.3683714444801112
35,13.0,20.0,20.0,0.24441508800026682,-1.3683605455347068
45,15.0,20.0,20.0,0.2444150880002668,-1.368402762565755
27,11.0,20.0,0.05,0.24380354498326387,-1.3984170605449338
31,12.0,20.0,0.01,0.24365499287506964,-1.394937926707651
22,10.0,20.0,0.05,0.24346711737022556,-1.3994863137700615
1,6.0,20.0,0.01,0.24338885502359298,-1.383072255667266
2,6.0,20.0,0.05,0.24330784670056907,-1.379587164411478
17,9.0,20.0,0.05,0.24258346660054275,-1.394564714634233
26,11.0,20.0,0.01,0.2423894271127863,-1.3969352104340698
42,14.0,20.0,0.05,0.24232439766592448,-1.3982014501640119
12,8.0,20.0,0.05,0.24216946634075104,-1.3945283340727928
11,8.0,20.0,0.01,0.24216946634075104,-1.3917896652506077
37,13.0,20.0,0.05,0.24211313649590516,-1.3989311951403658
16,9.0,20.0,0.01,0.24179344703505018,-1.3972338075184638
36,13.0,20.0,0.01,0.2414072673759358,-1.398208339709178
47,15.0,20.0,0.05,0.24135037447358199,-1.3968543995118585
46,15.0,20.0,0.01,0.24127796676824909,-1.3938609262328978
41,14.0,20.0,0.01,0.24120132648361445,-1.3934230132439949
52,16.0,20.0,0.05,0.2407449469304526,-1.390763377101361
21,10.0,20.0,0.01,0.24062250652158507,-1.4023567373391317
51,16.0,20.0,0.01,0.2398804080354683,-1.3934355618397576
